"Departamentos",año,valor
"Montevideo",1996,17.2
"Artigas",1996,23.5
"Canelones",1996,16.6
"Cerro Largo",1996,21.5
"Colonia",1996,16.4
"Durazno",1996,19.9
"Flores",1996,17.4
"Florida",1996,17.4
"Lavalleja",1996,16.9
"Maldonado",1996,20.7
"Paysandú",1996,21.6
"Río Negro",1996,19.8
"Rivera",1996,22.7
"Rocha",1996,18.3
"Salto",1996,23.4
"San José",1996,17.2
"Soriano",1996,21
"Tacuarembó",1996,21.8
"Treinta y Tres",1996,19.1
"Montevideo",1997,15.5
"Artigas",1997,23.5
"Canelones",1997,17.9
"Cerro Largo",1997,20.3
"Colonia",1997,16.3
"Durazno",1997,20.5
"Flores",1997,16.9
"Florida",1997,16.2
"Lavalleja",1997,17.6
"Maldonado",1997,18
"Paysandú",1997,20.6
"Río Negro",1997,19.6
"Rivera",1997,20.3
"Rocha",1997,17.2
"Salto",1997,23.1
"San José",1997,17.6
"Soriano",1997,18.5
"Tacuarembó",1997,22.3
"Treinta y Tres",1997,20.2
"Montevideo",1998,15.1
"Artigas",1998,20.6
"Canelones",1998,16.7
"Cerro Largo",1998,19.8
"Colonia",1998,16.2
"Durazno",1998,18.9
"Flores",1998,15.7
"Florida",1998,15
"Lavalleja",1998,17.6
"Maldonado",1998,18
"Paysandú",1998,21.2
"Río Negro",1998,20.6
"Rivera",1998,20.2
"Rocha",1998,15.6
"Salto",1998,21.5
"San José",1998,15.9
"Soriano",1998,18.5
"Tacuarembó",1998,21
"Treinta y Tres",1998,18
"Montevideo",1999,14.7
"Artigas",1999,20
"Canelones",1999,16.7
"Cerro Largo",1999,18.8
"Colonia",1999,14.9
"Durazno",1999,18.3
"Flores",1999,15.9
"Florida",1999,15.2
"Lavalleja",1999,16
"Maldonado",1999,17.8
"Paysandú",1999,20
"Río Negro",1999,19.2
"Rivera",1999,20.3
"Rocha",1999,17.3
"Salto",1999,21.2
"San José",1999,15.9
"Soriano",1999,19
"Tacuarembó",1999,20.2
"Treinta y Tres",1999,17.4
"Montevideo",2000,14.5
"Artigas",2000,19.3
"Canelones",2000,17.1
"Cerro Largo",2000,18.5
"Colonia",2000,14.6
"Durazno",2000,18.9
"Flores",2000,15.4
"Florida",2000,14.8
"Lavalleja",2000,15.3
"Maldonado",2000,17.8
"Paysandú",2000,19.9
"Río Negro",2000,18.5
"Rivera",2000,19.4
"Rocha",2000,14.9
"Salto",2000,20.8
"San José",2000,14.8
"Soriano",2000,18
"Tacuarembó",2000,18.5
"Treinta y Tres",2000,16.9
"Montevideo",2001,14.6
"Artigas",2001,18.3
"Canelones",2001,16.3
"Cerro Largo",2001,17.4
